sentence,sentiment,impact,sentiments,impacts,batch,film_title
This was enjoyed by my son. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk
Perhaps you'll enjoy it too. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,Birth of Planet Earth
I guess they were generated long before. ,Negative,Engagement with Film,['Neutral' 'Neutral' 'Negative' 'Negative'],"['Impersonal Report' 'Impersonal Report' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time
It was alright. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Positive' 'Neutral'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Solar Superstorms: Journey to the Center of the Sun
"At last, one of these for the layperson but NOT dumbed down. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,Seeing the Beginning of Time
"But our planet collided with the planet “theia,” and that collision sheered away a third of the earth’s mass, and “theia” disintegrated into what is now the asteroid belt. ",Neutral,Shift in Knowledge,['Neutral' 'Positive' 'Positive' 'Neutral'],"['Impersonal Report' 'Interest with Science Topic' 'Shift in Knowledge'
 'Not applicable']",2,The Jupiter Enigma
"There is much more to learn and discover, and I'm excited to see it brought to life! ",Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic' 'Engagement with Film']",2,The Jupiter Enigma
Evolutionary theory interjection was bogus..... ,Negative,Interest with Science Topic,['Negative' 'Negative' 'Negative' 'Negative'],"['Shift in Knowledge' 'Interest with Science Topic' 'Shift in Knowledge'
 'Interest with Science Topic']",2,Solar Superstorms: Journey to the Center of the Sun
Very interesting movie. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
The mapping of the tornado formation was the clearest description I had yet seen. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Engagement with Film' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
Really gets to the science and study of tornadoes and the destructive nature of them. ,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
"It's not what I thought, but OK ",Neutral,Engagement with Film,['Neutral' 'Neutral' 'Positive' 'Neutral'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
I live in Springfield. ,Neutral,Not applicable,['Neutral' 'Positive' 'Neutral' 'Neutral'],"['Not applicable' 'Interest with Science Topic' 'Impersonal Report'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
This is a good quality documentary. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time
Actually everyone should see this given the recent increase of severe weather events taking place all across the country. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic' 'Interest with Science Topic']",2,SuperTornado: Anatomy of a Megadisaster
Quite intense. ,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
 Really enjoyed. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,Space Junk
It did. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable' 'Not applicable'],2,SuperTornado: Anatomy of a Megadisaster
Very interesting. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
Very informative. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,Seeing the Beginning of Time
"This video is perfect to watch for general fascination purposes, or to relax before going to sleep. ",Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic' 'Engagement with Film']",2,Seeing the Beginning of Time
Incredible graphics and great information about the history of one of the members of our solar system. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Engagement with Film']",2,The Jupiter Enigma
The Jupiter Enigma achieves superiority with suppositions of space without the drama. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma
It is clearly up-to-date in presentation and science (being a 2016 production). ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Interest with Science Topic'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
"was not what I expected, I lost interest and shut it down.... ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film' 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
 All they want to do is get you to watch an hour of fiction. ,Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative' 'Negative'],"['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'
 'Engagement with Film']",2,The Jupiter Enigma
It was ok. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Positive' 'Neutral'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
Please make about a million more of these fantastic space docs. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time
No very scientific their method. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'
 'Shift in Knowledge']",2,The Jupiter Enigma
The 3D experience is awesome. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk
"The biggest letdown, however, is the narration. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time
 Really bad TV. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
Very educational ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Engagement with Film' 'Interest with Science Topic'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
Why not document the 17 minutes the residents had from the time of the warning until it hit. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Neutral'],"['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
Enjoyed this sad documentary. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
Very nicely done. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma
Well done documentary. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
A good look at the stuff circling the earth. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Interest with Science Topic'
 'Interest with Science Topic']",2,Space Junk
Great movie! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
Pretty good ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
A great subject should have a great presentation...definitely missing here. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk
 And all for no apparent gain --- unless they're all really Lizard People who want to fool us into thinking the Earth is flat so they can....  do whatever it is they want to do? ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral' 'Negative'],['Not applicable' 'Not applicable' 'Not applicable' 'Not applicable'],2,Birth of Planet Earth
" Compare this to ""From Everything to Nothing"" (also available on amazon) and you'll see the stark difference between the two different formats. ",Negative,Engagement with Film,['Neutral' 'Negative' 'Neutral' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Impersonal Report'
 'Engagement with Film']",2,Seeing the Beginning of Time
Good documentry on tornados specifically about the one that hit Joslyn Mo. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
I was thinking it was going to be something different. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Negative' 'Neutral'],"['Not applicable' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
Very good footage of tornado disasters and how they happen ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
Great graphics!! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
provide an excellent understanding of Tornados as well how much more we have to learn. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Impersonal Report' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
"This satellite was successfully placed in a highly elliptical orbit around Jupiter, necessitated by Jupiter’s strong radiation fields, which would “fry” the satellite if it had been placed in a conventional orbit. ",Neutral,TBD,['Neutral' 'Positive' 'Positive' 'Neutral'],"['Impersonal Report' 'Interest with Science Topic' 'Shift in Knowledge'
 'Impersonal Report']",2,The Jupiter Enigma
Very educational. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Shift in Knowledge' 'Interest with Science Topic'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
It wasn't boring. ,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Birth of Planet Earth
" Totally my bad, I guess. ",Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Impersonal Report' 'Not applicable'],2,The Jupiter Enigma
That Narrator was AWFUL! ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
Good documentary ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
Each of the children received 100% when tested about the movie. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
good show ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
"NCSA Mosaic became Netscape, and the graphical WWW took off. ",Neutral,TBD,['Negative' 'Positive' 'Neutral' 'Neutral'],"['Not applicable' 'Interest with Science Topic' 'Impersonal Report'
 'Not applicable']",2,Seeing the Beginning of Time
the presentation simply kills it for me. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time
I actually really liked it! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
very informative about the development of tornados and the research behind their formation ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Impersonal Report' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
I had really hard time understanding most of it. ,Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative' 'Negative'],"['Shift in Knowledge' 'Shift in Knowledge' 'Interest with Science Topic'
 'Shift in Knowledge']",2,Seeing the Beginning of Time
Good documentary ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
 There had to have been some heroes. ,Negative,Engagement with Film,['Negative' 'Negative' 'Neutral' 'Neutral'],"['Interest with Science Topic' 'Shift in Knowledge' 'Impersonal Report'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
On April 27th 2011 me and my family lived in Haleyville Alabama. ,Neutral,Not applicable,['Positive' 'Neutral' 'Neutral' 'Neutral'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Impersonal Report' 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
Very informative and good for a class room setting too ,Positive,TBD,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Engagement with Film' 'Interest with Science Topic'
 'Shift in Knowledge']",2,Solar Superstorms: Journey to the Center of the Sun
 As it stands I have no desire to see it again. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,Space Junk
Worth a watch if you're a science nerd. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Interest with Science Topic']",2,The Jupiter Enigma
Should be shown on VHS in someone's classroom ,Negative,Engagement with Film,['Positive' 'Negative' 'Positive' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
More of a meteorological lesson than one might expect and much about the fact that the town was ill prepared in terms of its attitude about storms and the construction of its buildings. ,Neutral,Shift in Knowledge,['Negative' 'Neutral' 'Neutral' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Impersonal Report'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
"As someone who has some background knowledge in Physics, I always find inaccuracies in documentaries and sci-fi movies. ",Neutral,TBD,['Negative' 'Positive' 'Neutral' 'Negative'],"['Shift in Knowledge' 'Interest with Science Topic' 'Impersonal Report'
 'Shift in Knowledge']",2,The Jupiter Enigma
" How will the future survive without weather, communications, navigation, and imaging satellites? ",Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive' 'Neutral'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Shift in Knowledge' 'Interest with Science Topic']",2,Space Junk
"Informative, well-presented and superior video makes for interesting viewing. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,Solar Superstorms: Journey to the Center of the Sun
"It also offers a nice look at the community now, and the process of rebuilding. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Impersonal Report' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
"You get the sense the guy was reading a sheet of paper, and never looking at the images he's voicing over. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
I've watched a lot of science and history documentaries on Prime. ,Neutral,Not applicable,['Neutral' 'Positive' 'Neutral' 'Neutral'],"['Not applicable' 'Interest with Science Topic' 'Impersonal Report'
 'Not applicable']",2,The Jupiter Enigma
Meh ,Negative,Engagement with Film,['Negative' 'Neutral' 'Negative' 'Neutral'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
"It's probably an interesting story, but it didn't hold my interest because the narrator was so awful to try to listen to. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
"If we keep leaving junk in space, it will be too dangerous to launch anything any more. ",Neutral,Shift in Knowledge,['Neutral' 'Positive' 'Positive' 'Neutral'],"['Not applicable' 'Interest with Science Topic' 'Shift in Knowledge'
 'Not applicable']",2,Space Junk
I like the guy's voice who is narrating. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma
" However,  this one was massively boring. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film' 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
" New customers, please read the reviews and exercise prudence prior to purchasing. ",Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral' 'Negative'],"['Not applicable' 'Not applicable' 'Impersonal Report'
 'Engagement with Film']",2,Space Junk
This one requires you remember facts and theories as you go. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Positive' 'Neutral'],"['Engagement with Film' 'Impersonal Report' 'Shift in Knowledge'
 'Impersonal Report']",2,Seeing the Beginning of Time
My family enjoyed it. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",2,The Jupiter Enigma
"The common man of earth is not well versed in the subject of cosmology, and yet the most well-established, recognized experts admit that their most advanced theories are ""still on shaky ground."" ",Neutral,TBD,['Neutral' 'Neutral' 'Positive' 'Neutral'],"['Interest with Science Topic' 'Not applicable' 'Shift in Knowledge'
 'Impersonal Report']",2,Seeing the Beginning of Time
The Jupiter Enigma surpasses the most advanced animation engine with digitally enhanced images of space without blood. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma
It was pretty good. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
 No space does not look like this. ,Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative' 'Negative'],"['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'
 'Interest with Science Topic']",2,The Jupiter Enigma
"""Astronomers (!) gather data about the sky. ",Neutral,TBD,['Positive' 'Neutral' 'Negative' 'Neutral'],"['Interest with Science Topic' 'Not applicable' 'Impersonal Report'
 'Impersonal Report']",2,Seeing the Beginning of Time
well done! ,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Not applicable'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
Its a good movie to learn off of. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Shift in Knowledge' 'Interest with Science Topic'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
I show this in my class. ,Positive,TBD,['Positive' 'Positive' 'Neutral' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Impersonal Report'
 'Not applicable']",2,Space Junk
" Lessons abound, but are tossed aside. ",Negative,Engagement with Film,['Neutral' 'Neutral' 'Negative' 'Negative'],"['Not applicable' 'Impersonal Report' 'Interest with Science Topic'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
"I often don't discover a production until it's five or more years old, and then by blind chance. ",Neutral,Not applicable,['Neutral' 'Positive' 'Neutral' 'Neutral'],"['Not applicable' 'Interest with Science Topic' 'Impersonal Report'
 'Not applicable']",2,Seeing the Beginning of Time
"We need to reign in the junk orbiting our planet before e loose something more important than the satellite Iridium 23, like a human life! ",Neutral,Shift in Knowledge,['Neutral' 'Positive' 'Positive' 'Neutral'],"['Not applicable' 'Interest with Science Topic' 'Shift in Knowledge'
 'Interest with Science Topic']",2,Space Junk
" I dock one star because whoever does the narration sounds like the newer computer generated voices, with very little voice modulation. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time
Only watched a little of the video. ,Negative,Engagement with Film,['Negative' 'Negative' 'Neutral' 'Neutral'],"['Engagement with Film' 'Engagement with Film' 'Impersonal Report'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
Outstanding! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Seeing the Beginning of Time
"Perhaps they were not listening to or understanding the CONTENT of the narration, and instead became distracted by their subjective reactions to the idiosyncratic variation of human speech? ",Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral' 'Positive'],"['Not applicable' 'Not applicable' 'Not applicable'
 'Interest with Science Topic']",2,Seeing the Beginning of Time
Real ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Not applicable' 'Engagement with Film'
 'Not applicable']",2,SuperTornado: Anatomy of a Megadisaster
The narrator should probably be giving Yoga instruction not describing the tumultuous and awesome forces of planetary formation. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Birth of Planet Earth
I enjoyed the movie it was very informative and the students were captivated . ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
"A little science heavy for the average Joe but for the above average Joe, fascinating. - ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
AND the video was packed with solar information that was precise and reliable. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Impersonal Report' 'Shift in Knowledge'
 'Shift in Knowledge']",2,Solar Superstorms: Journey to the Center of the Sun
Very informative and interesting information I didn't know about will watch again and again ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Shift in Knowledge' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
Great visuals if you like the same rewashed look in your renders. ,Negative,Engagement with Film,['Positive' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,The Jupiter Enigma
 Revelation that people ignored or didn't trust warnings gets two or three sentences. ,Neutral,TBD,['Neutral' 'Neutral' 'Neutral' 'Negative'],"['Not applicable' 'Impersonal Report' 'Impersonal Report'
 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
Thank you for reading this review. ,Neutral,Not applicable,['Neutral' 'Positive' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable' 'Not applicable'],2,Birth of Planet Earth
Fun stuff! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film' 'Not applicable']",2,Space Junk
"SUX, WANTED TO GIVE 0 STARS WATCHED 5 MINUTES AND HATED THE CRAP, WANT MY MONEY REFUNDED BACK ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Not applicable']",2,Solar Superstorms: Journey to the Center of the Sun
The visuals & narrative kept me engaged. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Birth of Planet Earth
" Where there were trees and houses, was nothing but a barren landscape. ",Neutral,TBD,['Neutral' 'Positive' 'Neutral' 'Neutral'],"['Not applicable' 'Interest with Science Topic' 'Impersonal Report'
 'Interest with Science Topic']",2,SuperTornado: Anatomy of a Megadisaster
this documentary was true and I learned new facts about the rebuilding process of these buildings that were destroyed by this natural disaster. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
Excellent 3D blu-ray for a very low price. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film' 'Engagement with Film'
 'Engagement with Film']",2,Space Junk
 Information was good and well presented. ,Positive,TBD,['Positive' 'Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic' 'Shift in Knowledge']",2,Space Junk
Learned more about weather than I already knew. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'
 'Shift in Knowledge']",2,SuperTornado: Anatomy of a Megadisaster
" If you're looking for any kind of personal or human interest angles to the story, best to look at some of the Weather Channel specials. ",Negative,Engagement with Film,['Negative' 'Positive' 'Negative' 'Negative'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Engagement with Film' 'Engagement with Film']",2,SuperTornado: Anatomy of a Megadisaster
